titre;nationalité;sortie;entrées (millions)
STAR WARS : EPISODE 7, LE REVEIL DE LA FORCE;ETATS UNIS;16/12/2015;3002807
RADIN !;FRANCE;28/09/2016;2953541
CAPTAIN AMERICA : CIVIL WAR;ETATS UNIS;27/04/2016;2915343
TROLLS (LES);ETATS UNIS;19/10/2016;2736205
MISS PEREGRINE ET LES ENFANTS PARTICULIERS;GRANDE BRETAGNE;05/10/2016;2707153
KUNG FU PANDA 3;ETATS UNIS;30/03/2016;2575717
BATMAN V SUPERMAN : L'AUBE DE LA JUSTICE;ETATS UNIS;23/03/2016;2492210
SUICIDE SQUAD;ETATS UNIS;03/08/2016;2281084
VISITEURS : LA REVOLUTION (LES);FRANCE / BELGIQUE;06/04/2016;2199638
RETOUR CHEZ MA MERE;FRANCE;01/06/2016;2196249
X-MEN : APOCALYPSE;ETATS UNIS;18/05/2016;2161008
DIVERGENTE 3 : AU-DELA DU MUR;ETATS UNIS;09/03/2016;2109392
INSAISISSABLES 2;ETATS UNIS;27/07/2016;2102703
DEMAIN TOUT COMMENCE;FRANCE / GRANDE BRETAGNE;07/12/2016;2074996
BRIDGET JONES BABY;GRANDE BRETAGNE;05/10/2016;1972097
PATTAYA;FRANCE;24/02/2016;1951055
BRICE 3;FRANCE;19/10/2016;1949761
CHOCOLAT;FRANCE;03/02/2016;1932768
DOCTOR STRANGE;ETATS UNIS;26/10/2016;1924147
ALVIN ET LES CHIPMUNKS : A FOND LA CAISSE;ETATS UNIS;03/02/2016;1799219
8 SALOPARDS (LES);ETATS UNIS;06/01/2016;1775995
WARCRAFT : LE COMMENCEMENT;ETATS UNIS;25/05/2016;1731822
CREED, L'HERITAGE DE ROCKY BALBOA;ETATS UNIS;13/01/2016;1641241
MEDECIN DE CAMPAGNE;FRANCE;23/03/2016;1507093
JASON BOURNE;ETATS UNIS;10/08/2016;1487907
CONJURING 2 : LE CAS ENFIELD;ETATS UNIS;29/06/2016;1471943
TARZAN;GRANDE BRETAGNE;06/07/2016;1376034
ALICE DE L'AUTRE COTE DU MIROIR;ETATS UNIS;01/06/2016;1347933
BALLERINA;CANADA / FRANCE;14/12/2016;1344874
VACHE (LA);FRANCE / MAROC;17/02/2016;1301661
INDEPENDENCE DAY  : RESURGENCE;ETATS UNIS;20/07/2016;1291364
ASSASSIN'S CREED;ETATS UNIS;21/12/2016;1252681
FOLLE HISTOIRE DE MAX ET LEON (LA);FRANCE / BELGIQUE;01/11/2016;1224730
ODYSSÉE (L');FRANCE;12/10/2016;1216923
PAPA OU MAMAN 2;FRANCE / BELGIQUE;07/12/2016;1197087
SULLY;ETATS UNIS;30/11/2016;1108213
ADOPTE UN VEUF;FRANCE;20/04/2016;1089364
JUSTE LA FIN DU MONDE;CANADA / FRANCE;21/09/2016;1033960
SAISONS (LES);FRANCE;27/01/2016;1018071
CIGOGNES ET COMPAGNIE;ETATS UNIS;12/10/2016;1017326
5EME VAGUE (LA);ETATS UNIS;27/01/2016;1002794
STAR WARS : EPISODE 7, LE REVEIL DE LA FORCE;ETATS UNIS;16/12/2015;7327435
MINIONS (LES);ETATS UNIS;08/07/2015;6655855
FAMILLE BELIER (LA);FRANCE / BELGIQUE;17/12/2014;5351811
JURASSIC WORLD;ETATS UNIS;10/06/2015;5214046
007 SPECTRE;GRANDE BRETAGNE;11/11/2015;4813082
FAST & FURIOUS 7;ETATS UNIS;01/04/2015;4631125
NOUVELLES AVENTURES D'ALADIN (LES);FRANCE;14/10/2015;4426102
VICE-VERSA;ETATS UNIS;17/06/2015;4410201
AVENGERS : L'ERE D'ULTRON;ETATS UNIS;22/04/2015;4240121
CINQUANTE NUANCES DE GREY;ETATS UNIS;11/02/2015;4065415
PROFS 2 (LES);FRANCE / BELGIQUE;01/07/2015;3494441
AMERICAN SNIPER;ETATS UNIS;18/02/2015;3132953
LABYRINTHE : LA TERRE BRULEE (LE);ETATS UNIS;07/10/2015;3122000
PAPA OU MAMAN;FRANCE;04/02/2015;2887691
MISSION : IMPOSSIBLE, ROGUE NATION;ETATS UNIS;12/08/2015;2797975
HUNGER GAMES : LA REVOLTE, 2e PARTIE;ETATS UNIS;18/11/2015;2773963
TAKEN 3;FRANCE;21/01/2015;2612213
BABYSITTING 2;FRANCE;02/12/2015;2525612
SEUL SUR MARS;ETATS UNIS;21/10/2015;2519790
DIVERGENTE 2 : L'INSURRECTION;ETATS UNIS;18/03/2015;2417013
POURQUOI J'AI (PAS) MANGE MON PERE;FRANCE / ITALIE;08/04/2015;2410643
MAD MAX : FURY ROAD;AUSTRALIE;14/05/2015;2359477
VOYAGE D'ARLO (LE);ETATS UNIS;25/11/2015;2316475
HOTEL TRANSYLVANIE 2;ETATS UNIS;07/10/2015;2298078
PETIT PRINCE (LE);FRANCE / ITALIE;29/07/2015;1934437
ANT-MAN;ETATS UNIS;14/07/2015;1721905
CENDRILLON;GRANDE BRETAGNE;25/03/2015;1674276
KINGSMAN : SERVICES SECRETS;GRANDE BRETAGNE / ETATS UNIS;18/02/2015;1666999
NOUVEAUX HEROS (LES);ETATS UNIS;11/02/2015;1660709
NUIT AU MUSEE : LE SECRET DES PHARAONS (LA);ETATS UNIS;04/02/2015;1591922
BIS;FRANCE;18/02/2015;1512366
TERMINATOR : GENISYS;ETATS UNIS;01/07/2015;1425869
BELLE ET SEBASTIEN : L'AVENTURE CONTINUE;FRANCE;09/12/2015;1369011
DERNIER LOUP (LE);CHINE / FRANCE;25/02/2015;1326539
BOB L'EPONGE, LE FILM - UN HEROS SORT DE L'EAU;ETATS UNIS;18/02/2015;1300935
EN ROUTE !;ETATS UNIS;15/04/2015;1224306
4 FANTASTIQUES (LES);ETATS UNIS;05/08/2015;1204400
CONNASSE, PRINCESSE DES CŒURS;FRANCE;29/04/2015;1199076
